City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
103,Dandong,CN,2022-04-21 17:37:50,40.1292,124.3947,52.7,93,100,13.18
104,Griffith,US,2022-04-21 17:37:50,41.5284,-87.4237,63.05,67,0,16.11
105,Arica,CL,2022-04-21 17:37:50,-18.475,-70.3042,76.55,64,0,12.66
106,Kodiak,US,2022-04-21 17:37:51,57.79,-152.4072,38.71,81,20,11.5
107,Salvador,SV,2022-04-21 17:37:51,13.8333,-88.9167,89.06,32,9,3.89
108,Eureka,US,2022-04-21 17:37:52,40.8021,-124.1637,58.19,72,10,8.99
109,Dikson,RU,2022-04-21 17:37:52,73.5069,80.5464,0.01,99,98,11.12
110,Erzin,TR,2022-04-21 17:37:52,36.9559,36.2,56.68,76,0,1.1
111,Vrangel,RU,2022-04-21 17:37:53,42.7297,133.0839,45.9,80,83,6.82
112,Pacific Grove,US,2022-04-21 17:33:10,36.6177,-121.9166,60.91,82,75,14.0
113,Tuktoyaktuk,CA,2022-04-21 17:37:53,69.4541,-133.0374,-4.0,84,20,0.0
114,Saldanha,ZA,2022-04-21 17:37:53,-33.0117,17.9442,62.65,90,22,14.25
115,Recea,RO,2022-04-21 17:37:54,47.6333,23.5167,54.59,50,100,2.3
116,Quelimane,MZ,2022-04-21 17:37:54,-17.8786,36.8883,80.55,83,75,2.3
117,Huarmey,PE,2022-04-21 17:37:54,-10.0681,-78.1522,73.09,74,95,12.17
118,Knysna,ZA,2022-04-21 17:37:55,-34.0363,23.0471,64.04,91,33,4.65
119,Gravdal,NO,2022-04-21 17:37:55,68.1214,13.5031,42.69,93,75,8.05
120,Port Lincoln,AU,2022-04-21 17:37:55,-34.7333,135.8667,60.33,72,97,14.85
121,Pisco,PE,2022-04-21 17:37:56,-13.7,-76.2167,71.65,68,0,6.91
122,Opelousas,US,2022-04-21 17:34:48,30.5335,-92.0815,83.88,65,75,11.5
123,Faanui,PF,2022-04-21 17:37:56,-16.4833,-151.75,79.56,76,81,9.28
124,Nipawin,CA,2022-04-21 17:37:56,53.3668,-104.0009,30.24,80,0,5.75
